"user_id","course_id","item_id","module_id","item_start_ts","item_complete_ts","module_order"
"190277","GdeNrll1EeSROyIACtiV","Pm7a","Ebrt","2016-01-22 16:50:29.603","2016-01-22 16:58:30.026","3"
"179604","GdeNrll1EeSROyIACtiV","9BqZ","C36e","2016-02-13 23:25:33.819","2016-02-13 23:29:39.11","2"
"419075","GdeNrll1EeSROyIACtiV","9BqZ","Ebrt","2016-08-26 17:42:28.671","2016-08-26 17:46:32.304","3"
"190277","RMFRum1BEeWXrA6ju0fv","Q2xk","nCCL","2016-06-19 15:04:39.357","2016-06-19 15:11:41.527","3"
"551865","RMFRum1BEeWXrA6ju0fv","qFvz","6BaZ","2016-02-13 06:51:29.32","2016-02-13 06:58:51.802","2"
"551865","7A1yFTaREeWWBQrVFXqd","u3Fb","xNVL","2016-02-09 05:59:49.522","2016-02-09 06:06:43.745","6"
"304134","RMFRum1BEeWXrA6ju0fv","k159","UlD0","2016-04-08 17:09:42.778","2016-04-08 17:14:03.398","0"
"222138","RMFRum1BEeWXrA6ju0fv","pAba","UlD0","2016-07-31 19:00:13.559","2016-07-31 19:14:57.635","0"
"75837","RMFRum1BEeWXrA6ju0fv","NUer","UlD0","2016-01-20 23:05:55.36","2016-01-20 23:05:55.36","0"
"53694","RMFRum1BEeWXrA6ju0fv","Ge1i","xeqL","2016-07-13 19:23:17.646","2016-07-13 19:23:17.646","1"
"193649","RMFRum1BEeWXrA6ju0fv","9Aep","UlD0","2016-03-06 05:09:31.459","2016-03-06 05:09:56.906","0"
"18256","RMFRum1BEeWXrA6ju0fv","lB1s","nCCL","2016-02-15 14:29:21.837","[NULL]","3"
"205388","RMFRum1BEeWXrA6ju0fv","YOBK","xeqL","2016-06-08 12:48:05.709","2016-06-08 13:11:33.668","1"
"93471","RMFRum1BEeWXrA6ju0fv","lYHL","nCCL","2016-02-10 19:51:20.152","2016-02-11 08:58:18.31","3"
"6375","RMFRum1BEeWXrA6ju0fv","ZGM8","xeqL","2016-08-15 22:42:22.324","2016-08-15 22:42:22.324","1"
"563741","GdeNrll1EeSROyIACtiV","Dci3","VaMv","2016-05-19 06:39:51.888","[NULL]","1"
"31655","RMFRum1BEeWXrA6ju0fv","LP1k","6BaZ","2016-03-22 09:29:52.925","2016-03-22 09:35:33.974","2"
"254679","7A1yFTaREeWWBQrVFXqd","WiLX","AWp2","2016-04-18 05:22:22.984","2016-04-18 05:32:18.645","2"
"571878","7A1yFTaREeWWBQrVFXqd","hfT8","JpGj","2016-01-20 06:45:23.781","2016-01-20 06:45:23.781","4"
"335122","RMFRum1BEeWXrA6ju0fv","ZGM8","nCCL","2016-02-08 04:55:21.068","2016-02-08 04:55:21.068","3"
"584510","RMFRum1BEeWXrA6ju0fv","pAba","UlD0","2016-02-25 07:21:04.406","2016-02-25 07:57:34.088","0"
"657785","RMFRum1BEeWXrA6ju0fv","nobf","UlD0","2016-02-05 01:33:38.813","2016-02-05 01:37:03.119","0"
"75837","RMFRum1BEeWXrA6ju0fv","amLg","6BaZ","2016-01-25 20:08:50.55","2016-01-25 20:08:50.55","2"
"226466","RMFRum1BEeWXrA6ju0fv","sRVr","UlD0","2016-04-03 16:27:59.239","2016-04-03 16:27:59.239","0"
"571878","RMFRum1BEeWXrA6ju0fv","X300","nCCL","2016-02-02 15:38:17.094","2016-02-02 15:38:17.094","3"
"35610","GdeNrll1EeSROyIACtiV","3YLA","U70C","2016-05-26 18:59:54.716","2016-05-26 19:05:48.825","0"
"419075","RMFRum1BEeWXrA6ju0fv","HNo9","6BaZ","2016-02-10 17:58:08.584","2016-02-10 17:58:08.584","2"
"466077","RMFRum1BEeWXrA6ju0fv","cnA4","6BaZ","2016-05-23 06:20:13.842","2016-05-23 06:20:20.541","2"
